total_transactions,unique_counterparties,incoming_count,outgoing_count,incoming_outgoing_ratio,total_volume,degree_centrality,label
1,1,0,1,0.0,0.0,1.0,0
2,2,1,1,0.5,0.00227374072932537,1.0,0
3,3,2,1,1.0,0.01510779,1.0,0
3,3,0,3,0.0,2.913284187746e-06,1.0,0
1,1,1,0,1.0,0.0,1.0,0
2,2,0,2,0.0,1e-09,1.0,0
1,1,0,1,0.0,0.0,1.0,0
2,2,1,1,0.5,0.002879312573700608,1.0,0
16,16,8,8,0.8888888888888888,744.0701817214998,1.0,1
22,22,3,19,0.15,0.9751382996217945,1.0,0
20,19,17,3,4.25,0.9628026763560336,1.0526315789473684,0
2,2,0,2,0.0,0.0,1.0,0
6,5,1,5,0.16666666666666666,0.36184779751447144,1.2000000000000002,0
2,2,1,1,0.5,0.021999225222598,1.0,0
1,1,1,0,1.0,0.0,1.0,0
1,1,0,1,0.0,0.0,1.0,0
4,4,0,4,0.0,1.382453835146119,1.0,0
10,10,2,8,0.2222222222222222,0.5299341856307096,1.0,0
1,1,0,1,0.0,0.0,1.0,0
3,3,1,2,0.3333333333333333,0.019988284729643,1.0,0
3,3,3,0,3.0,2.5018717484090867,1.0,0
61,61,60,1,30.0,179.18879110148822,1.0,1
2,2,2,0,2.0,2.8766831469786e-05,1.0,0
6,6,0,6,0.0,5e-09,1.0,0
1,1,0,1,0.0,0.0,1.0,0
2,2,1,1,0.5,2.2607,1.0,0
5,5,3,2,1.0,0.19819224317428205,1.0,0
1,1,1,0,1.0,0.0,1.0,0
1,1,0,1,0.0,0.0,1.0,0
8,8,8,0,8.0,0.22410327723897938,1.0,0
195,195,195,0,195.0,0.0011304415677541,1.0,1
2,2,0,2,0.0,0.0,1.0,0
11,11,9,2,3.0,0.10996756020322924,1.0,0
16,16,1,15,0.0625,2.0,1.0,0
2,2,0,2,0.0,0.0,1.0,0
4,4,1,3,0.25,0.229936226096345,1.0,0
2,2,2,0,2.0,0.0,1.0,0
188,188,188,0,188.0,0.0,1.0,1
113,113,113,0,113.0,0.0,1.0,1
28,28,19,9,1.9,0.39245531180109056,1.0,0
29,26,13,16,0.7647058823529411,1.0184400257869926,1.1153846153846154,0
2,2,1,1,0.5,0.025629665285061998,1.0,0
1,1,0,1,0.0,0.21363211220125028,1.0,0
302,300,16,286,0.05574912891986063,149.76736606733752,1.0066666666666668,1
1,1,0,1,0.0,2.4525519e-11,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
14,13,5,9,0.5,2.1662577102688725,1.076923076923077,0
7,7,0,7,0.0,6e-09,1.0,0
3,2,1,2,0.3333333333333333,0.01943029294397,1.5,0
2,2,0,2,0.0,31.447028411299843,1.0,0
1,1,0,1,0.0,1e-08,1.0,0
6,6,6,0,6.0,0.0,1.0,0
301,301,301,0,301.0,81.12244623470502,1.0,1
2,2,1,1,0.5,9.549888715282e-05,1.0,0
427,427,427,0,427.0,0.0,1.0,1
366,349,191,175,1.0852272727272727,158.94673992539714,1.0487106017191976,1
41,41,3,38,0.07692307692307693,1.6815130650861796,1.0,0
500,500,500,0,500.0,0.0013299890528002411,1.0,1
1,1,0,1,0.0,0.0,1.0,0
2,2,1,1,0.5,0.0,1.0,0
497,497,497,0,497.0,0.0,1.0,1
10,10,6,4,1.2,0.029470999422409667,1.0,0
1,1,0,1,0.0,0.0,1.0,0
428,428,428,0,428.0,120.6971742497948,0.9999999999999999,1
9,9,4,5,0.6666666666666666,0.3612413304368843,1.0,0
157,157,156,1,78.0,7.64922993961733,1.0,1
1,1,0,1,0.0,0.0,1.0,0
2,2,1,1,0.5,0.00228426687161837,1.0,0
1,1,0,1,0.0,3.91410257e-06,1.0,0
5,5,5,0,5.0,43.17,1.0,1
5,5,4,1,2.0,0.126354068200751,1.0,0
1,1,1,0,1.0,0.10393388,1.0,0
1,1,1,0,1.0,0.000988406348903571,1.0,0
2,2,2,0,2.0,0.0,1.0,0
3,3,1,2,0.3333333333333333,0.09328985355460923,1.0,0
4,4,2,2,0.6666666666666666,0.002075408950545135,1.0,0
2,2,1,1,0.5,0.003934259496939321,1.0,0
185,185,110,75,1.4473684210526316,221.78113920622354,1.0,1
12,12,3,9,0.3,0.12497983934702606,1.0,0
3,3,1,2,0.3333333333333333,0.01478,1.0,0
78,78,62,16,3.6470588235294117,34.126660432048936,1.0,0
5,4,3,2,1.0,1e-09,1.6666666666666665,0
30,30,1,29,0.03333333333333333,0.14891719,1.0,0
21,21,20,1,10.0,0.26703176831565595,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
1,1,0,1,0.0,0.0,1.0,0
45,45,45,0,45.0,17.293808390240642,1.0,0
1,1,0,1,0.0,0.0,1.0,0
10,10,0,10,0.0,0.0,1.0,0
2,2,0,2,0.0,1e-08,1.0,0
2,2,1,1,0.5,0.10695774,1.0,0
24,23,21,3,5.25,0.3735323283360267,1.0434782608695652,0
29,27,7,22,0.30434782608695654,14.550183137244113,1.074074074074074,0
462,462,0,462,0.0,0.07060864364414449,1.0,0
1,1,0,1,0.0,0.0,1.0,0
360,360,360,0,360.0,0.0,1.0,1
3,3,3,0,3.0,1.8835781117e-08,1.0,0
235,235,5,230,0.021645021645021644,29.219222627694716,1.0,0
2,2,1,1,0.5,0.1,1.0,0
1,1,0,1,0.0,0.0,1.0,0
22,22,0,22,0.0,1.7000000000000003e-08,1.0,0
172,171,119,53,2.2037037037037037,62.05230527248894,1.011764705882353,1
2,2,1,1,0.5,0.045997677100623996,1.0,0
2,2,1,1,0.5,0.05346008,1.0,0
303,303,303,0,303.0,37.28558435867906,1.0,1
318,318,318,0,318.0,0.0,1.0,1
17,16,15,2,5.0,5442.526960536977,1.0625,1
2,2,1,1,0.5,0.003931633355037887,1.0,0
18,18,0,18,0.0,4.3984111573572e-05,1.0,0
78,78,78,0,78.0,0.03488622280387201,1.0,1
279,279,279,0,279.0,0.0,1.0,1
1,1,0,1,0.0,0.0,1.0,0
452,452,1,451,0.0022123893805309734,0.007333613731826855,1.0,0
130,130,122,8,13.555555555555555,0.03310299950373422,1.0,0
6,6,5,1,2.5,0.4251320551936574,1.0,0
478,478,0,478,0.0,0.057698828377187115,0.9999999999999999,0
1,1,1,0,1.0,0.0,1.0,0
362,362,362,0,362.0,204.70007626367186,1.0,1
23,23,10,13,0.7142857142857143,5.00170140715718,1.0,0
2,2,1,1,0.5,0.20621241773905002,1.0,0
3,3,1,2,0.3333333333333333,0.016905971031799822,1.0,0
1,1,0,1,0.0,0.0,1.0,0
30,30,27,3,6.75,0.2253409349928965,1.0,0
2,2,0,2,0.0,2e-09,1.0,0
142,142,3,139,0.02142857142857143,0.3456096327509069,1.0,0
35,35,0,35,0.0,2.9900000000000003e-16,1.0,0
1,1,1,0,1.0,0.08,1.0,0
2,2,1,1,0.5,0.007002094088400895,1.0,0
2,2,1,1,0.5,0.004546558820645516,1.0,0
2,2,1,1,0.5,0.031998876564764,1.0,0
1,1,1,0,1.0,0.0,1.0,0
10,10,9,1,4.5,0.006923507731254926,1.0,0
1,1,0,1,0.0,0.0,1.0,0
343,343,343,0,343.0,0.0,1.0,1
3,3,0,3,0.0,0.0,1.0,0
2,2,0,2,0.0,5e-08,1.0,0
